proj_name,type,metre_factor,radius,eccentricity,flattening,prime_merid
L2LANFT83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1
LM2LANM ,lambert2,1.0 ,6378137.0 ,0.0818191910429526,298.2572221 ,1  
LM2LAOFT,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
L2LAOFT83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1
LM2LASFT,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
L2LASFT83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1
LM2LASM ,lambert2,1.0 ,6378137.0 ,0.0818191910429526,298.2572221 ,1  
LM2MAINE,lambert2,1.0 ,6378206.4 ,0.0822718542249391,294.9786982 ,1  
LM2MARYF,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,8 
L2MARYF83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1   
LM2MASIF,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,8
L2MASIF83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1 
LM2MASIM,lambert2,1.0 ,6378137.0 ,0.0818191910429526,298.2572221 ,1  
LM2MASMF,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,8 
L2MASMF83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1
LM2ME ,lambert2,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,8 
LM2ME1 ,lambert2,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LM2MEDIT,lambert2,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LM2MICCF,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,8 
L2MICCF83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1
LM2MICNF,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,8 
L2MICNF83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1
LM2MICSF,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,8 
L2MICSF83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1
LM2MINCF,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,8 
L2MINCF83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1
LM2MINNF,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,8 
L2MINNF83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1
LM2MINSF,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,8 
L2MINSF83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1
LM2MOCFT,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,8 
L2MON2 ,lamcon2,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1   
