usearea_id,area_name,country,description,mbr_tr_lat,mbr_tr_lon,mbr_bl_lat,mbr_bl_lon,angle_id,prime_merid
205,USA FLORIDA WOF 082/NOF 029-30,WORLD,USA FLORIDA WOF 082/NOF 029-30,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
206,USA IOWA CO'S N OF 042N. ,WORLD,USA IOWA CO'S N OF 042N. ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
207,USA IOWA CO'S S OF 042N. ,WORLD,USA IOWA CO'S S OF 042N. ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
208,IRAN ,WORLD,IRAN ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
209,VOLGA DELTA ,WORLD,VOLGA DELTA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
210,EAST SIBERIA ,WORLD,EAST SIBERIA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
211,USA KANSAS CO'S N OF 038-45N. ,WORLD,USA KANSAS CO'S N OF 038-45N. ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
212,USA KANSAS CO'S S OF 038-45N. ,WORLD,USA KANSAS CO'S S OF 038-45N. ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
213,USA KENTUCKY CO'S NOF 037-55N.,WORLD,USA KENTUCKY CO'S NOF 037-55N.,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
214,USA KENTUCKY CO'S S OF 037-55N,WORLD,USA KENTUCKY CO'S S OF 037-55N,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
215,UAS LOUISIANA CO'S NOF 30.55N ,WORLD,UAS LOUISIANA CO'S NOF 30.55N ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
216,USA LA. OFFSHORE. LITTLE USED.,WORLD,USA LA. OFFSHORE. LITTLE USED.,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
217,USA LOUISIANA S OF 30.55 & O/S,WORLD,USA LOUISIANA S OF 30.55 & O/S,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
