datum_name,description,spheroid_name,merid_id,origin_name,origin_lat,origin_long,angle_id,origin_height,height_id,usearea_id,ref_datum,source,visibility,release
TIMBALFT,TIMBALAI ,EVIMPFT ,1 ,TIMBALAI ,5.2843189 ,115.1823358 ,1 ,0.0 ,5,29,,R.A.S - FOR DIGITISING PETRONAS MAPS. USE WITH BORNEOFT PROJN. (ELF-AQUITAINE),SURVEY,PUBLIC 
TM65 ,TM65 ,AIRYMOD ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,RJL 3/9/84. USED FOR ONSHORE IRELAND TOPOGRAPHIC MAPPING. ,SURVEY,PUBLIC 
TM75 ,TM75 ,AIRYMOD ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,RJL 22/3/83 ,SURVEY,PUBLIC 
TOKYO ,TOKYO ,BESS1841,1 ,TOKYO OBSERVATORY ,35.3215319 ,139.7446944 ,1 ,0.0 ,1 ,1,,RJL 9/2/84. REF: MAGNAVOX 1972 "GEODESY"USED IN JAPAN. ,SURVEY,PUBLIC 
TRUCIAL ,TRUCIAL COAST 1948 ,HELM1906,1 ,TC1 ,25.397275 ,55.4455417 ,1 ,0.0 ,1 ,31,,TCJ 28.6.88 TRIG FILE ,SURVEY,PUBLIC 
USAIRMOD,NOT SPECIFIED ,AIRYMOD ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,,SURVEY,PUBLIC 
USAIRY ,NOT SPECIFIED ,AIRY ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,,SURVEY,PUBLIC 
USANS ,NOT SPECIFIED ,ANS ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,,SURVEY,PUBLIC 
USBESMOD,NOT SPECIFIED ,BESSMOD ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,,SURVEY,PUBLIC 
USBESS ,NOT SPECIFIED ,BESS1841,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,,SURVEY,PUBLIC 
USC58MTR,NOT SPECIFIED ,CLA58MTR,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,,SURVEY,PUBLIC 
USC66AFT,NOT SPECIFIED ,CLA66AFT,1 ,,0.0 ,0.0 ,1 ,0.0 ,4,1,,,SURVEY,PUBLIC 
USC66MTR,NOT SPECIFIED ,CLA66MTR,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,,SURVEY,PUBLIC 
USC80IGN,NOT SPECIFIED ,CLA80IGN,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,,SURVEY,PUBLIC 
USC80MOD,NOT SPECIFIED ,CLA80MOD,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,,SURVEY,PUBLIC 
USC80RSA,NOT SPECIFIED ,CLA80RSA,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,USED ONLY IN SOUTH AFRICA. ,SURVEY,PUBLIC 
USEV37AD,NOT SPECIFIED ,EV37ADJ ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,,SURVEY,PUBLIC 
USEV67 ,NOT SPECIFIED ,EVERST67,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,,SURVEY,PUBLIC 
USGRS67 ,NOT SPECIFIED ,GRS67 ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,,SURVEY,PUBLIC 
USGRS80 ,NOT SPECIFIED ,GRS80 ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,SJM 20/9/83 ,SURVEY,PUBLIC 
